horizon,theta,se,ci_low,ci_high,p_value,n_obs
0.0,0.08491818535302446,0.05189979532292615,-0.01680354428491114,0.18663991499096005,0.10179878358589173,171.0
1.0,0.156736993073096,0.10359554916640491,-0.046306552251706046,0.35978053839789803,0.13028719342614956,170.0
2.0,0.08660474048675924,0.15029586248222512,-0.20796973700378674,0.38117921797730525,0.5644608288737508,169.0
3.0,0.0788462325139383,0.22794252706234705,-0.36791291107330854,0.5256053761011852,0.7294148603533309,168.0
4.0,0.05931920283664441,0.33494322610542115,-0.5971574571956371,0.7157958628689258,0.859428065541197,167.0
5.0,0.039116109115326696,0.44071890703070393,-0.8246770759707094,0.9029092942013628,0.929276436407637,166.0
6.0,0.011871963508448088,0.5441867712766721,-1.0547145090569652,1.0784584360738614,0.9825947531952989,165.0
7.0,-0.037225070834770516,0.6251843255831913,-1.2625638326767885,1.1881136910072474,0.9525199731945099,164.0
8.0,-0.14059531296603028,0.6861716660776445,-1.4854670656900577,1.2042764397579973,0.8376516915280823,163.0
9.0,-0.25092006100612524,0.7349810525514333,-1.6914564533262755,1.1896163313140249,0.7328050050460666,162.0
10.0,-0.2949137315793701,0.7661800506569237,-1.7965990365400148,1.2067715733812745,0.700300839527805,161.0
11.0,-0.3138612874897242,0.772920490802174,-1.8287576123750073,1.201035037395559,0.6846897763584576,160.0
12.0,-0.2958998746802658,0.7686765590933748,-1.8024782462634552,1.2106784969029234,0.7002765488175455,159.0
13.0,-0.30833868877422055,0.762634971266016,-1.8030757658063508,1.1863983882579097,0.6859869483003819,158.0
14.0,-0.359426966005886,0.7731081435670424,-1.8746910835519106,1.1558371515401387,0.6419947427501747,157.0
15.0,-0.43060638421224656,0.7940714432814071,-1.9869578141955446,1.1257450457710516,0.5876279542300811,156.0
16.0,-0.3434839998374214,0.7952604704068588,-1.902165880163246,1.2151978804884034,0.6658040388717861,155.0
