supersector_code,sigma,sensitivity
111,0.001036416174848176,-0.001036416174848176
112,0.0013179674887477872,-0.0013179674887477872
113,0.0039606399090470895,-0.0039606399090470895
114,0.0035237956471491118,-0.0035237956471491118
115,0.005693299264727342,-0.005693299264727342
211,-0.008087123104163714,0.008087123104163714
212,0.004077537300536537,-0.004077537300536537
213,0.008548051744069531,-0.008548051744069531
221,-0.0017471714027167211,0.0017471714027167211
236,0.021882872554780733,-0.021882872554780733
237,0.012539545202677211,-0.012539545202677211
238,0.021212246602616527,-0.021212246602616527
311,0.0033314308229306774,-0.0033314308229306774
312,0.009864214487928402,-0.009864214487928402
313,0.017515106031060677,-0.017515106031060677
314,0.01611917041446628,-0.01611917041446628
315,0.018872418036098806,-0.018872418036098806
316,0.016300484745608725,-0.016300484745608725
321,0.02350025468246289,-0.02350025468246289
322,0.008518853514619605,-0.008518853514619605
323,0.01517690325007036,-0.01517690325007036
324,0.0023782617714080173,-0.0023782617714080173
325,0.005466759626856959,-0.005466759626856959
326,0.01689193180566679,-0.01689193180566679
327,0.019824800039404893,-0.019824800039404893
331,0.019464892965464387,-0.019464892965464387
332,0.01832871812246649,-0.01832871812246649
333,0.017577588797707412,-0.017577588797707412
334,0.016604380199410615,-0.016604380199410615
335,0.016418027372917747,-0.016418027372917747
336,0.0187564125902603,-0.0187564125902603
337,0.02328367596761842,-0.02328367596761842
339,0.01050543399990247,-0.01050543399990247
423,0.012757629534779831,-0.012757629534779831
424,0.006557863288792451,-0.006557863288792451
425,-0.005752949506361557,0.005752949506361557
441,0.011085302579598843,-0.011085302579598843
442,0.021261046958440666,-0.021261046958440666
443,0.013945737101510272,-0.013945737101510272
444,0.00794491228568218,-0.00794491228568218
445,0.001554441528043548,-0.001554441528043548
446,0.004503643171377464,-0.004503643171377464
447,0.0058760264831130594,-0.0058760264831130594
448,0.017942107584279665,-0.017942107584279665
451,0.010902184870097233,-0.010902184870097233
452,0.004097504239183286,-0.004097504239183286
453,0.012458278896653931,-0.012458278896653931
454,0.011118923868094223,-0.011118923868094223
481,0.012023737366362098,-0.012023737366362098
482,-0.023063418085157033,0.023063418085157033
483,0.006318676631809366,-0.006318676631809366
484,0.013752259961988237,-0.013752259961988237
485,0.011842085052322383,-0.011842085052322383
486,0.0015966194031104683,-0.0015966194031104683
487,0.03725519630037354,-0.03725519630037354
488,0.01308412146228212,-0.01308412146228212
491,0.006121131043396356,-0.006121131043396356
492,0.011520189294805144,-0.011520189294805144
493,0.014841496217811848,-0.014841496217811848
511,0.010335998174714096,-0.010335998174714096
512,0.02176404720807556,-0.02176404720807556
515,0.008578547102157434,-0.008578547102157434
516,0.07516106315852374,-0.07516106315852374
517,0.004832789505852836,-0.004832789505852836
518,0.022147770059044357,-0.022147770059044357
519,0.004379046381968027,-0.004379046381968027
521,-0.0003392481457705149,0.0003392481457705149
522,0.0030285783977011477,-0.0030285783977011477
523,0.009764195151589227,-0.009764195151589227
524,0.0018062423637216795,-0.0018062423637216795
525,0.03816006557193895,-0.03816006557193895
531,0.006638412841037759,-0.006638412841037759
532,0.014855374611969077,-0.014855374611969077
533,0.0066101274014827,-0.0066101274014827
541,0.009856394198394843,-0.009856394198394843
551,0.007097006860548434,-0.007097006860548434
561,0.019372391147334495,-0.019372391147334495
562,0.004831032832040944,-0.004831032832040944
611,0.0017747659948494456,-0.0017747659948494456
621,0.002398419678944811,-0.002398419678944811
622,-0.0004908088728847147,0.0004908088728847147
623,-0.0005735792212221475,0.0005735792212221475
624,0.0032041748819032867,-0.0032041748819032867
711,0.018197423156541305,-0.018197423156541305
712,0.008562678731291727,-0.008562678731291727
713,0.01513454727315169,-0.01513454727315169
721,0.020687112891219155,-0.020687112891219155
722,0.011816888673687034,-0.011816888673687034
811,0.009089554759732402,-0.009089554759732402
812,0.010832895970248922,-0.010832895970248922
813,0.0045087243426185485,-0.0045087243426185485
814,0.0029272367574518423,-0.0029272367574518423
921,-0.0004217359696179001,0.0004217359696179001
922,0.0017367333864111317,-0.0017367333864111317
923,-0.0011161161605520763,0.0011161161605520763
924,0.0007612417504755666,-0.0007612417504755666
925,0.00559188785585355,-0.00559188785585355
926,0.008740939972908954,-0.008740939972908954
927,-0.0016357458779008487,0.0016357458779008487
928,-0.0019562596754956582,0.0019562596754956582
