horizon,actual_beta,ri_p_value,ri_mean
0,-0.024898969387359176,0.05472636815920398,0.0011079541061674808
12,-0.020793293761012854,0.6517412935323383,-0.004308968884678245
24,-0.012279470408155925,0.8407960199004975,-0.002701037727796796
