horizon,beta,se,t_stat,p_value,ci_low,ci_high,n_obs,p_value_bh
-6.0,0.047816490741606266,0.010219974493876472,4.678728970434965,2.88658700586808e-6,0.027785708810690413,0.06784727267252212,1436537.0,NaN
-5.0,0.03522297082257361,0.008890615554697109,3.9618146354292127,0.00007438227946288123,0.017797684534975683,0.05264825711017154,1441103.0,NaN
-4.0,0.03289665154433876,0.007482754711489412,4.396329000846109,0.000011009701951003592,0.018230721804672112,0.04756258128400541,1445669.0,NaN
-3.0,0.012656665688110339,0.006670223615481188,1.8974874633490515,0.05776363183883193,-0.0004167323670613357,0.025730063743282013,1450235.0,NaN
-2.0,0.0009379643030197176,0.003299583627191731,0.284267474020053,0.7762054103418237,-0.005529100770254112,0.007405029376293546,1454801.0,NaN
0.0,-0.02489896938735904,0.004638031371970052,-5.368434879038549,7.942285806805671e-8,-0.03398934383558724,-0.015808594939130845,1431971.0,2.83653064528774e-7
1.0,-0.03215159367147753,0.006274044693161068,-5.124540108317034,2.982648552585232e-7,-0.04444849530746788,-0.019854692035487183,1427405.0,9.32077672682885e-7
2.0,-0.05266801735154653,0.007439778560712309,-7.079245292282452,1.4495071809506044e-12,-0.0672497153834959,-0.03808631931959717,1422839.0,1.2079226507921705e-11
3.0,-0.06354878944218963,0.007931074129452707,-8.012633396805091,1.1102230246251565e-15,-0.07909340909463429,-0.048004169789744956,1418273.0,2.7755575615628914e-14
4.0,-0.06352399190780009,0.00908907634839583,-6.989048113674578,2.7675639557855902e-12,-0.08133825420339075,-0.045709729612209433,1413707.0,1.729727472365994e-11
5.0,-0.06895489876212525,0.009298231601560944,-7.415915382291556,1.2079226507921703e-13,-0.0871790978210969,-0.050730699703153616,1409141.0,1.5099033134902129e-12
6.0,-0.052934968184380184,0.009695384298926975,-5.459811241338695,4.766410643952668e-8,-0.07193757222655217,-0.033932364142208196,1404575.0,1.9860044349802783e-7
7.0,-0.040384756150514074,0.010672119551913453,-3.7841364083363653,0.00015424321448875844,-0.06130172611097018,-0.019467786190057967,1400009.0,0.00025707202414793073
8.0,-0.0393706749252145,0.010105568681526044,-3.895938582574565,0.0000978191765672598,-0.05917722558430147,-0.01956412426612753,1395443.0,0.00018811380109088423
9.0,-0.014783330129297613,0.011966190018874764,-1.2354249853946209,0.2166723787216025,-0.03823663159845482,0.008669971339859596,1390877.0,0.2257003945016693
10.0,-0.03784217536238152,0.009897282982365673,-3.8234912985519576,0.00013157523722528985,-0.05724049355261941,-0.018443857172143623,1386311.0,0.00023495578075944618
11.0,-0.018664963966766084,0.010674216267676444,-1.7486027544042875,0.08035970986482122,-0.03958604341460347,0.002256115481071304,1381745.0,0.09131785211911503
12.0,-0.02079329376101293,0.010978628779221143,-1.8939791279187481,0.05822778035599052,-0.04231101076792131,0.0007244232458954517,1377179.0,0.06931878613808395
13.0,-0.03509704206603098,0.010829773995130482,-3.24079173598748,0.0011919823387271933,-0.056323009057195186,-0.01387107507486678,1372613.0,0.0016555310260099906
14.0,-0.05178137648828037,0.011483716665187053,-4.509113033523013,6.509921935293761e-6,-0.0742890475607094,-0.029273705415851333,1368047.0,0.00001479527712566764
15.0,-0.07918278112665367,0.011950500134209605,-6.625896844265484,3.4514613389546867e-11,-0.10260533098694558,-0.05576023126636176,1363481.0,1.7257306694773433e-10
16.0,-0.05974514304110333,0.011909213179083746,-5.016716229921406,5.256211332849148e-7,-0.08308677195631724,-0.03640351412588942,1358915.0,1.4600587035692076e-6
17.0,-0.04885470728016283,0.012424737976939491,-3.932051313342618,0.00008422408140273951,-0.07320674623231128,-0.02450266832801437,1354349.0,0.00017546683625570733
18.0,-0.057103056639209254,0.012158986282547713,-4.696366564799205,2.6483009976097094e-6,-0.08093423184151932,-0.03327188143689918,1349783.0,6.6207524940242735e-6
19.0,-0.03975333147851139,0.01222300522302369,-3.2523369460425817,0.0011446024648467112,-0.0637099814984828,-0.01579668145853999,1345217.0,0.0016555310260099906
20.0,-0.041657564866324284,0.012245765217651052,-3.401793528286746,0.0006694519431855728,-0.06565882365605365,-0.017656306076594925,1340651.0,0.0010460186612274575
21.0,-0.033656622091116445,0.0113393054173519,-2.968137893138817,0.0029960988748196637,-0.0558812523188261,-0.011431991863406793,1336085.0,0.003942235361604821
22.0,-0.0232915840600254,0.010875263121551694,-2.1417030374067982,0.03221738615295311,-0.04460670810066336,-0.0019764600193874354,1331519.0,0.040271732691191386
23.0,-0.01900686755421931,0.011025432687443394,-1.7239112598152981,0.08472386431678558,-0.040616318535579024,0.0026025834271404015,1326953.0,0.09209115686607128
24.0,-0.01227947040815585,0.011074103624064422,-1.1088455395588066,0.2674968211055564,-0.033984314672386606,0.009425373856074906,1322387.0,0.2674968211055564
