horizon,beta,se,t_stat,p_value,ci_low,ci_high,n_obs,p_value_bh
-6.0,0.04587024684756888,0.07030456731970439,0.65245045373763,0.5141106254569452,-0.0919241730477234,0.18366466674286117,43362.0,NaN
-5.0,-0.05957070269679467,0.05403035562259324,-1.1025413771640007,0.27022638026686696,-0.16546825378896862,0.0463268483953793,43918.0,NaN
-4.0,-0.07926430863548364,0.045693865305135736,-1.7346816275263712,0.08279721227037018,-0.168822638947974,0.010294021677006729,44474.0,NaN
-3.0,-0.12652598833671058,0.057550221789630825,-2.198531724155884,0.027911236396425565,-0.23932235034667926,-0.013729626326741906,45030.0,NaN
-2.0,-0.05828517341385417,0.026179469864792592,-2.2263695069027682,0.02598944123363034,-0.10959599148319932,-0.006974355344509013,45586.0,NaN
0.0,-0.10562776466158975,0.1278879166729581,-0.8259401467279102,0.4088380452914704,-0.3562834753984471,0.14502794607526764,42806.0,0.9955180567067481
1.0,-0.0478365822691365,0.10092650994809305,-0.4739744026989447,0.6355181608490941,-0.24564890685272237,0.14997574231444935,42250.0,0.9955180567067481
2.0,0.024612401529904595,0.07729617811870602,0.3184167979444806,0.750168797935653,-0.1268853237253522,0.17611012678516139,41694.0,0.9955180567067481
3.0,0.042266017806612516,0.06491209831942747,0.6511269686372588,0.5149645288864741,-0.08495935706038829,0.16949139267361332,41138.0,0.9955180567067481
4.0,0.02403546509879571,0.06692545631079727,0.3591378591006783,0.7194919607978778,-0.10713601891927581,0.15520694911686722,40582.0,0.9955180567067481
5.0,-0.0036558908349293325,0.07118632243941285,-0.05135664703062706,0.9590413298148026,-0.14317851900803402,0.13586673733817534,40026.0,0.9955180567067481
6.0,0.044561331673344015,0.09219785522732774,0.48332286649696266,0.6288665064028287,-0.1361431440240563,0.2252658073707443,39470.0,0.9955180567067481
7.0,0.08173589024909966,0.16018853833859922,0.5102480558024075,0.609877688922881,-0.2322278756306685,0.3956996561288678,38914.0,0.9955180567067481
8.0,0.00983069471185629,0.12601581408640825,0.07801159547416363,0.937818829249675,-0.23715576237999908,0.2568171518037117,38358.0,0.9955180567067481
9.0,0.18565300216764086,0.19615056517437163,0.9464821169523586,0.3439027392494698,-0.19879504112130414,0.5701010454565858,37802.0,0.9955180567067481
10.0,0.01657780922877658,0.14256749241336691,0.11628042934717613,0.9074302955062432,-0.26284934126760995,0.29600495972516316,37246.0,0.9955180567067481
11.0,0.1712285735111585,0.11436570859977804,1.4972020512754538,0.13434069179828367,-0.052924096410809196,0.3953812434331262,36690.0,0.9955180567067481
12.0,0.1888154439759918,0.10000566807983816,1.888047423724559,0.059019584172742556,-0.00719206371035791,0.3848229516623415,36134.0,0.9955180567067481
13.0,0.12139087371097733,0.1286069440436299,0.9438905077302473,0.34522560319109585,-0.13067410477629532,0.37345585219825,35578.0,0.9955180567067481
14.0,0.13271350642272386,0.13418993049565694,0.9889975047495768,0.32266436250744235,-0.13029392443669682,0.3957209372821445,35022.0,0.9955180567067481
15.0,-0.031805474291053175,0.2265756204548259,-0.14037465384495978,0.8883639828508818,-0.47588553015732876,0.4122745815752224,34466.0,0.9955180567067481
16.0,0.09213434159908696,0.13989370703975904,0.6586024743264652,0.5101510735882364,-0.18205228586263816,0.3663209690608121,33910.0,0.9955180567067481
17.0,0.1511456214099479,0.14109338277822753,1.071245287580358,0.284059153446687,-0.12539232729230196,0.4276835701121977,33354.0,0.9955180567067481
18.0,-0.0113417546770942,0.1222557791353271,-0.09277070382529572,0.9260857255748147,-0.25095867868421873,0.2282751693300303,32798.0,0.9955180567067481
19.0,0.0006628352645201045,0.11799864656961519,0.005617312433571466,0.9955180567067481,-0.23061026223639647,0.23193593276543667,32242.0,0.9955180567067481
20.0,-0.1466580278723694,0.1272326670535635,-1.1526758910950756,0.24904344056553196,-0.3960294729543298,0.10271341720959098,31686.0,0.9955180567067481
21.0,-0.09879549635571697,0.12981326217758407,-0.7610585752060147,0.44662208162029415,-0.35322481493943736,0.1556338222280034,31130.0,0.9955180567067481
22.0,0.0033498772568648296,0.12307317177306519,0.027218582316556147,0.9782853946511008,-0.23786910688145452,0.2445688613951842,30574.0,0.9955180567067481
23.0,-0.023515393277107045,0.13903777289585856,-0.16912953068315068,0.8656947573913087,-0.29602442064364914,0.24899363408943503,30018.0,0.9955180567067481
24.0,0.1029691062596662,0.14959423759841478,0.6883226781507882,0.49124960365702863,-0.1902302117279544,0.3961684242472868,29462.0,0.9955180567067481
