horizon,beta,se,t_stat,p_value,ci_low,ci_high,n_obs,p_value_bh
-6.0,0.047816490741607105,0.025267830738834075,1.892386063363882,0.058439561538480955,-0.0017075474739617902,0.097340528957176,1436537.0,NaN
-5.0,0.03522297082257358,0.019433081832719846,1.8125262439469585,0.06990492261908177,-0.002865169678176946,0.0733111113233241,1441103.0,NaN
-4.0,0.03289665154433899,0.01677956829951561,1.9605183492884408,0.049935235421344704,9.302001158395523e-6,0.06578400108751958,1445669.0,NaN
-3.0,0.012656665688110484,0.01598597432824024,0.7917356445238173,0.42851483392012435,-0.01867526825302227,0.04398859962924324,1450235.0,NaN
-2.0,0.000937964303019741,0.007429175725066381,0.12625415493336714,0.8995307448470378,-0.013622952552929607,0.015498881158969089,1454801.0,NaN
0.0,-0.024898969387359176,0.01496543590638514,-1.6637650612459476,0.0961593886779486,-0.054230684776816585,0.004432746002098236,1431971.0,0.40066411949145253
1.0,-0.032151593671477345,0.017338752904432694,-1.8543198492238568,0.06369341401668627,-0.06613492490100469,0.001831737558049995,1427405.0,0.31846707008343134
2.0,-0.05266801735154767,0.017308012883169865,-3.0429846399502924,0.0023424428932055097,-0.08659109924651587,-0.018744935456579473,1422839.0,0.02928053616506887
3.0,-0.0635487894421893,0.020743514458751017,-3.0635497937708487,0.0021872780108673773,-0.10420533069412716,-0.02289224819025143,1418273.0,0.02928053616506887
4.0,-0.06352399190780025,0.028791384331954672,-2.2063542056675938,0.027359208782343103,-0.1199540682634822,-0.007093915552118295,1413707.0,0.22799340651952588
5.0,-0.06895489876212525,0.03385867385876843,-2.0365504877642424,0.041695108770731126,-0.13531668008959918,-0.002593117434651307,1409141.0,0.26059442981706954
6.0,-0.05293496818437985,0.03780086779454684,-1.4003638348222327,0.16140439408195384,-0.1270233076460517,0.021153371277291978,1404575.0,0.5043887315061057
7.0,-0.04038475615051396,0.041502714544246054,-0.9730630054923218,0.33052198903457497,-0.12172858191788291,0.04095906961685499,1400009.0,0.663053407276467
8.0,-0.03937067492521415,0.0404399502406575,-0.9735589359264758,0.3302755838710927,-0.11863152093349474,0.039890171083066445,1395443.0,0.663053407276467
9.0,-0.014783330129297608,0.04703928230741667,-0.3142762687722114,0.7533112205604036,-0.10697862931044645,0.07741196905185123,1390877.0,0.7900213363096087
10.0,-0.037842175362381936,0.048112121616517546,-0.786541397280435,0.43155037635340543,-0.13214020095056733,0.05645585022580346,1386311.0,0.7192506272556758
11.0,-0.018664963966766326,0.04889155961908785,-0.38176249872543033,0.7026375373744438,-0.11449065996817136,0.0771607320346387,1381745.0,0.7900213363096087
12.0,-0.020793293761012854,0.04916895497388306,-0.42289476707523216,0.672372040938223,-0.1171626746672952,0.07557608714526949,1377179.0,0.7900213363096087
13.0,-0.035097042066031064,0.051380776744461835,-0.6830772964095772,0.4945580007985031,-0.13580151398286944,0.0656074298508073,1372613.0,0.7253739098870596
14.0,-0.05178137648828015,0.049983552882762315,-1.0359683036084826,0.30021692998223015,-0.14974733995784748,0.04618458698128718,1368047.0,0.663053407276467
15.0,-0.0791827811266532,0.054252846503236925,-1.4595138546680468,0.14442373017186405,-0.18551640633177738,0.027150844078470987,1363481.0,0.5043887315061057
16.0,-0.05974514304110314,0.05947241646263486,-1.0045857658842503,0.3150963541206766,-0.17630893738143447,0.05681865129922819,1358915.0,0.663053407276467
17.0,-0.04885470728016245,0.060895713241495175,-0.8022684139755207,0.4223977093707252,-0.16820811204637187,0.07049869748604695,1354349.0,0.7192506272556758
18.0,-0.057103056639209435,0.060442661389727835,-0.9447475562172059,0.34478777178376285,-0.17556849609282568,0.06136238281440681,1349783.0,0.663053407276467
19.0,-0.03975333147851115,0.06212900640717342,-0.6398513959483059,0.522269215118683,-0.16152394643182932,0.08201728347480701,1345217.0,0.7253739098870596
20.0,-0.04165756486632429,0.06185325751587949,-0.673490233810719,0.5006354598546447,-0.1628877219239295,0.0795725921912809,1340651.0,0.7253739098870596
21.0,-0.03365662209111645,0.06077103573323281,-0.5538266986078573,0.5796974545576439,-0.15276566343144943,0.08545241924921654,1336085.0,0.7627598086284788
22.0,-0.02329158406002546,0.06183093411080369,-0.3766979165846976,0.7063981113245048,-0.14447798804766981,0.09789481992761888,1331519.0,0.7900213363096087
23.0,-0.01900686755421944,0.06179977013912446,-0.30755563510076056,0.7584204828572243,-0.14013219127975726,0.10211845617131839,1326953.0,0.7900213363096087
24.0,-0.012279470408155925,0.06302162558234618,-0.19484534546179158,0.8455140220011244,-0.13579958679672255,0.1112406459804107,1322387.0,0.8455140220011244
