horizon,n_obs,linear_ate,linear_ate_ci_low,linear_ate_ci_high,linear_cate_slope,forest_ate,placebo_ate
0,1431971,-0.016339432107859975,-0.021255797025081704,-0.011423067190638249,0.0035382546487596023,-0.05765137172819307,-0.0024601764785022713
12,1377179,0.006729550336947605,-0.005404354464987553,0.01886345513888276,-0.002823384045152178,0.02434530565819661,-0.0036405307453222947
24,1322387,0.021055434071564762,0.004956538629109889,0.03715432951401963,-0.025380689564233876,0.10345594052613769,-0.009301997005210899
