state_fips,exposure,state
01,-0.25835894845104385,AL
02,2.7284333792845583,AK
04,-1.1032788811513259,AZ
05,-0.2354007483636413,AR
06,-0.21217600345471277,CA
08,-0.3727436606920561,CO
09,-0.04016499721000942,CT
10,0.7170036397939286,DE
12,-0.16230428048699275,FL
13,-0.2935102720186312,GA
15,-0.594939466079951,HI
16,0.3272429713417728,ID
17,-0.34627217099345636,IL
18,-1.268031880717243,IN
19,0.37235256338696887,IA
20,0.7001434196574836,KS
21,-0.3400797746312556,KY
22,1.0517567029986938,LA
23,0.2799977627582965,ME
24,0.49913812737090935,MD
25,0.33920617620624577,MA
26,-0.7539191365287617,MI
27,0.0645859909237472,MN
28,-0.7459681997611284,MS
29,-0.11598596738883203,MO
30,1.2276518858261523,MT
31,0.7207211808421178,NE
32,-3.889339080521352,NV
33,-0.7013239398180112,NH
34,0.280631255224302,NJ
35,0.4492503514595317,NM
36,1.0250887591437703,NY
37,-1.2943712064202773,NC
38,1.615241565760475,ND
39,-0.6745528088571856,OH
40,0.9053437408474339,OK
41,-0.35537936849996826,OR
42,0.354763850755139,PA
44,0.26315019202411705,RI
45,-1.1264411197979602,SC
46,1.176532817716976,SD
47,-1.2162895156911182,TN
48,0.31602639754143225,TX
49,-0.3185163310379174,UT
50,-0.7046897674383492,VT
51,-0.3163178658352608,VA
53,0.07734933209471127,WA
54,1.3534939369348173,WV
55,-0.6965387242197593,WI
56,1.2917881161726867,WY
