horizon,theta,se,ci_low,ci_high,first_stage_f,ar_low,ar_high,n_obs
0.0,0.48557052699167214,0.19705829587558493,0.09934336422068779,0.8717976897626565,13.419027490447194,0.20000000000000284,1.0,402.0
1.0,4.854742485757808,3.634970713948324,-2.269669198438754,11.97915416995437,12.171967372718816,-2.3000000000000007,13.300000000000004,401.0
2.0,4.559227947914502,3.0606665530659614,-1.4395682647811316,10.558024160610136,14.11756419276012,-1.5,12.0,400.0
3.0,3.852773825893305,2.1504891906696217,-0.36210753696184295,8.067655188748454,13.646169544832762,-0.3999999999999986,9.600000000000001,399.0
4.0,3.686743209370185,1.9587079441272965,-0.15225381735180843,7.525740236092179,14.130762496528536,0.0,9.0,398.0
5.0,3.5050901455119314,1.7755442531925243,0.025087356297516905,6.985092934726346,13.873233954656932,0.20000000000000284,8.400000000000002,397.0
6.0,3.1478128268578733,1.6985737053474708,-0.1813304607099191,6.476956114425666,13.677978059354043,-0.09999999999999787,7.800000000000001,396.0
7.0,2.7501394027297352,1.808596570395569,-0.7946447378082406,6.294923543267711,13.642328563137033,-0.8999999999999986,7.400000000000002,395.0
8.0,2.9125304047599596,1.7814077084919158,-0.5789645456662229,6.404025355186143,13.582255478322724,-0.5999999999999979,7.600000000000001,394.0
9.0,3.1857502144243024,1.8509509142563652,-0.44204691466965906,6.813547343518264,13.311220055916586,-0.29999999999999716,8.200000000000003,393.0
10.0,4.08477709243949,1.942875149882883,0.2768117722111798,7.8927424126678,13.529240467266918,0.8000000000000007,9.8,392.0
11.0,4.300023614349305,2.071303424791335,0.24034350070381993,8.359703727994791,14.841872042116,0.9000000000000021,10.100000000000001,391.0
12.0,4.0288719889496765,1.9391870731091192,0.22813516637016207,7.829608811529191,15.164212056722182,0.9000000000000021,9.5,390.0
13.0,4.078663944774284,1.9440781069868949,0.2683408719471645,7.888987017601404,14.904049911019552,0.8000000000000007,9.600000000000001,389.0
14.0,4.028899315593686,1.8676181711547701,0.3684349632577746,7.689363667929598,14.114432883382289,0.8000000000000007,9.5,388.0
15.0,3.9832889206885724,1.7823825183850288,0.48988337798011505,7.476694463397029,14.109150661332205,0.7000000000000028,9.3,387.0
16.0,3.502873673125581,1.5080556152564806,0.5471389805394868,6.458608365711676,13.919986308570724,0.5,8.3,386.0
17.0,3.190141897653789,1.4344827104309692,0.37860744876369035,6.0016763465438885,13.958594030930662,0.3000000000000007,7.700000000000003,385.0
18.0,2.8604845846305302,1.5073561225102077,-0.09387912736542248,5.814848296626483,12.56688260507406,-0.29999999999999716,7.700000000000003,384.0
19.0,2.8774297498270016,1.518862410590879,-0.09948587240280915,5.854345372056812,12.671473199367485,-0.29999999999999716,7.800000000000001,383.0
20.0,2.336294794804464,1.5065009406775767,-0.6163927915992988,5.288982381208227,12.956841872157955,-1.0,6.900000000000002,382.0
21.0,2.142533514444743,1.5822908311996897,-0.9586995277745949,5.243766556664081,12.808638583167966,-1.3999999999999986,6.800000000000001,381.0
22.0,0.8464152678643053,1.9681820583442902,-3.011150681508415,4.7039812172370254,11.212388937109665,-4.699999999999999,5.5,380.0
23.0,0.4025642786356478,1.9143045202558446,-3.349403636508034,4.15453219377933,11.572815921976378,-5.199999999999999,4.700000000000003,379.0
24.0,-0.7999647333035185,2.268594516618829,-5.2463282814014764,3.6463988147944395,6.76847928146575,-10.5,5.200000000000003,378.0
